Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2014-09-06T04:47:14.007,7,-0.006479580034733545,-0.8500296734650139,FoVP,0.6883966307050468,0.721177496778984,2456906.7017129995
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2014-09-06T06:33:48.243,6,-0.00154599226827804,-0.8481289634754698,FoVF,0.6876111001715439,0.7222132249629791,2456906.7757140356
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2014-10-11T07:57:53.918,4,-3.0305498150859996E-4,-0.5251612420281904,FoVP,0.6417226164465099,0.7151075369644265,2456941.8310735794
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2014-10-11T09:44:28.139,2,0.004892417626692572,-0.5265986652092107,FoVF,0.6429943389124237,0.7134780653859901,2456941.9050746635
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-03-01T11:27:31.578,1,0.006245897466710771,-2.500750201229449,FoVF,-0.6592544143232465,0.7025423122709341,2457082.976959177
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-03-01T15:41:11.595,7,-0.00652106304079808,-2.5033378325731963,FoVP,-0.6568128331438834,0.7058183008693296,2457083.1531317537
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-03-29T09:25:19.156,6,-0.003816971813597106,2.492685577578339,FoVP,0.6916481434680073,0.708643887891177,2457110.894547583
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-03-29T11:11:53.375,4,0.0011770507016211026,2.4947150027000866,FoVF,0.6905338777774825,0.7094907633820355,2457110.9685612153
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-04-23T15:22:15.825,2,0.002492877131639076,-2.180794635552482,FoVP,-0.4873548155051867,0.7171694698349935,2457136.1444732337
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-04-23T17:08:50.025,5,-0.0012035627437544908,-2.176976805209341,FoVF,-0.48920244771893895,0.7152669775611231,2457136.2184855323
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-08-29T15:27:27.829,1,0.00454851478044559,-0.8789760431911423,FoVP,0.6421124255371274,0.7249347789364592,2457264.146977126
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-09-29T09:07:17.949,1,0.004076345087494035,0.8797491760348657,FoVP,-0.7062151803134419,0.716672615977157,2457294.880310975
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-09-29T10:53:52.160,5,-0.001250940478531891,0.8792272950146933,FoVF,-0.7052757045019291,0.7173553940811261,2457294.9543115995
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-10-21T15:03:47.467,3,4.951365248872282E-4,-0.356056355181773,FoVP,0.5537544713197521,0.7125330017499975,2457317.1260390435
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2015-10-21T16:50:21.701,2,0.005331109022721854,-0.35850701673918545,FoVF,0.5557387820698787,0.7103478911004987,2457317.2000407833
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-01-24T23:39:08.788,2,0.0026564574556619505,2.7440825801932656,FoVP,-0.09935300217489901,0.69728375778862,2457412.4824813283
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-01-25T01:25:43.028,4,8.255692982102505E-4,2.738849216454213,FoVF,-0.09492407580373817,0.6985865947337717,2457412.556492688
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-01-25T05:39:22.992,5,-0.003374620066345422,2.7263388706165053,FoVP,-0.08430157282278827,0.7015775518393008,2457412.7326590936
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-01-30T17:43:59.194,6,-0.00530414885919422,2.3213133520391027,FoVP,0.27464694623234637,0.7049633168834101,2457418.236169046
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-01-30T19:30:33.324,7,-0.003496597510311543,2.316079905141982,FoVF,0.2793338484008709,0.7038287556306109,2457418.31017964
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-01-30T23:44:13.290,3,0.0010012043840520169,2.303692690123185,FoVP,0.2904246962249051,0.7010239258502692,2457418.486347285
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-01-31T01:30:47.535,3,0.0029725079174716894,2.298519027643318,FoVF,0.29505594389499795,0.699802740073093,2457418.560359227
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-03-11T04:49:06.508,4,-0.001429303080096827,-2.3832293346438296,FoVP,-0.6998477221573274,0.7059686326051857,2457458.701198401
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-04-12T22:25:11.936,4,-0.0017343783063193357,2.70204875462518,FoVP,0.5990725520665111,0.7108741525777087,2457491.4374258495
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-04-13T00:11:46.143,3,0.002084329237892319,2.7057865332817927,FoVF,0.5966586022439808,0.7123726654361152,2457491.5114387944
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-05-02T22:31:48.752,1,0.0034664592633999163,-2.2332819799456183,FoVP,-0.3238907474031902,0.7183285214129291,2457511.443454532
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-05-03T00:18:22.928,4,7.425661990077947E-4,-2.228751205529037,FoVF,-0.32617534066261383,0.7166137639921257,2457511.517465811
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-05-03T04:32:03.041,7,-0.005779746652457486,-2.2179907671918335,FoVP,-0.33156820093393635,0.7125116657771766,2457511.693635462
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-09-08T18:24:08.753,6,-0.002392582723722213,-0.8320850734243002,FoVF,0.7020566902803581,0.7202029553125402,2457640.2687439583
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-10-12T23:50:21.243,4,0.0017297422692594895,0.9487878804567986,FoVF,-0.6269708549499504,0.7148233130317249,2457674.4923182875
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2016-10-30T10:07:15.160,1,0.0043749634158005745,-0.1360991820365683,FoVP,0.4333398404309485,0.7080727949577762,2457691.9194183983
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-01-31T14:21:47.063,3,0.0026807439100308204,-3.125374198263238,FoVF,-0.33082840555439036,0.6971500459757182,2457785.0958543085
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-01-31T18:35:27.026,7,-0.005974738905139525,-3.1353044140917916,FoVP,-0.32280402105296446,0.702608750668727,2457785.2720222343
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-02-14T08:03:44.823,1,0.004784919157841647,2.2349444103063267,FoVP,0.5324182900660249,0.702573411041065,2457798.8342784555
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-03-22T01:20:40.264,4,-0.0011738303678058665,-2.2922509658360197,FoVP,-0.7066178064979292,0.7082867623401056,2457834.5573999914
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-04-30T18:52:36.401,6,-0.003998325636273504,3.10214860655385,FoVP,0.3812141469443205,0.7128916512009535,2457874.2910802057
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-04-30T20:39:10.666,6,-0.0023317273082808236,3.107172457610121,FoVF,0.3780142845925819,0.7139118347901346,2457874.3650926836
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-05-01T02:39:24.871,3,0.00309952850710085,3.1242182443969266,FoVF,0.36715095659513863,0.7172709880318044,2457874.615273246
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-05-10T20:47:17.031,2,0.004839646608609112,-2.4708952048903594,FoVF,-0.0553042563219252,0.7203206227320954,2457884.3713145596
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-05-11T01:00:56.910,2,0.0018613853445106643,-2.4587166136289245,FoVP,-0.06192724137912873,0.7182244901277066,2457884.5474799797
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-05-11T02:47:31.098,4,5.866700670595622E-4,-2.453606260624035,FoVF,-0.06469259618098895,0.7173261158184763,2457884.6214907276
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-05-11T07:01:11.157,5,-0.002502620944788685,-2.441456731417258,FoVP,-0.0712341176567097,0.7151461464855806,2457884.797658183
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-05-11T08:47:45.422,7,-0.0038233839000668033,-2.4363586126275334,FoVF,-0.07396515192517406,0.714213043082622,2457884.8716698
HD 160691,4.643208720614163,-0.9046748933970743,17:44:08.703,-51:50:02.592,2017-05-11T13:01:25.668,7,-0.00702086774679192,-2.4242382379251017,FoVP,-0.08042479872403169,0.7119515785950533,2457885.047839356
