Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-12T20:09:53.115,6,-0.0016759798113378365,0.5012285379666997,FoVF,-0.026406814361054604,0.7048768632588236,2457094.3452847414
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-13T00:23:33.156,3,6.854744071702113E-4,0.5139617829677006,FoVP,-0.0362742940827501,0.7065870366506763,2457094.52143062
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-13T02:10:07.344,4,0.0016186986660931583,0.5193214819684038,FoVF,-0.04044130886370786,0.707262201412177,2457094.595432375
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-13T06:23:47.246,1,0.0036982134787479784,0.5321019390202921,FoVP,-0.0504090180443881,0.7087651405420211,2457094.771576595
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-13T08:10:21.379,2,0.004511737151449219,0.5374803558832496,FoVF,-0.05461652446710293,0.7093524815665608,2457094.8455776935
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-13T14:10:35.246,1,0.006994776210770181,0.5556973577879337,FoVF,-0.06892117132069879,0.7111428024394231,2457095.095720977
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-16T08:13:04.360,2,0.005196736561087113,0.7571469385967824,FoVF,-0.23092864099793692,0.7103331353938859,2457097.847252517
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-16T12:26:44.195,2,0.003164803652159841,0.7699116590112658,FoVP,-0.24132993352793355,0.709007400929423,2457098.0233952687
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-16T14:13:18.355,3,0.002239982047519685,0.7752622178723837,FoVF,-0.245691816318487,0.7084066806653365,2457098.09739638
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-16T18:26:58.327,3,-1.3118041733387563E-4,0.7879664864007138,FoVP,-0.25605267117926306,0.7068739262073115,2457098.273540671
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-16T20:13:32.549,5,-0.0011988110653963077,0.7932896569512349,FoVF,-0.26039546006355846,0.706187209064257,2457098.347542477
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-03-17T00:27:12.679,6,-0.0039104648858803255,0.8059239638909809,FoVP,-0.2707059794023482,0.7044522734053887,2457098.5236885347
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-04-26T17:44:46.654,7,-0.005617108518706924,-0.4994017239765833,FoVP,0.7156032035103695,0.7171984110981915,2457139.2405779315
55 Cnc,2.3238921621550865,0.4944661033074603,08:52:35.811,+28:19:50.955,2015-04-26T19:31:20.863,5,-3.117731032673581E-4,-0.4994525005381696,FoVF,0.7155066947594682,0.7173623515014228,2457139.3145777173
