Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2014-09-22T06:19:09.793,1,0.00433736634036812,-0.9407023465194548,FoVP,0.7009633367315508,0.7163526691207533,2456922.763351832
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2014-10-02T23:22:43.770,1,0.006029338769433625,0.4164675695477823,FoVF,-0.6814315825281534,0.7156389211783377,2456933.473841489
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2014-10-03T03:36:23.802,6,-0.0048417275405801445,0.4097676368334286,FoVP,-0.6785871411496393,0.7179923822385793,2456933.6499943263
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2014-11-02T03:25:26.527,4,-0.0017357251315587995,-1.5999857048622377,FoVP,0.627231887913252,0.7095265998167168,2456963.641749813
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2014-11-02T05:12:00.741,3,0.0024572923161677363,-1.6034769356497935,FoVF,0.6286919236940658,0.7081246116481493,2456963.7157559297
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2014-12-09T10:47:40.112,1,0.006634588345778504,-0.854192160990602,FoVF,-0.6161262190141658,0.701659918449189,2457000.9487792416
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2014-12-09T15:01:20.180,5,-0.0032932835463559667,-0.8628657094135703,FoVP,-0.6123904704631623,0.7050213681976337,2457001.1249391697
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-01-07T10:38:06.464,7,-0.004627991920861732,-2.8568722885815263,FoVF,0.6556279477279049,0.7005728854003805,2457029.9426639797
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-02-08T02:30:38.967,1,0.0033161612164402726,-1.8671458171734652,FoVP,-0.6957893831583097,0.7046081256390276,2457061.6051441645
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-02-08T04:17:13.181,6,-0.001910206515438613,-1.8689287164393786,FoVF,-0.6954299827166964,0.7050244392228332,2457061.6791538885
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-03-14T07:53:17.906,5,-0.0020729840144564035,2.2926966097743655,FoVP,0.6962374338647981,0.7060180879930134,2457095.8304296825
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-03-14T09:39:52.116,3,0.003361787692423983,2.2925558168575533,FoVF,0.6954422207463619,0.7067507314428582,2457095.904439251
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-04-06T19:46:35.622,4,-0.001236737188467928,-2.8559084489323032,FoVP,-0.6671266614496126,0.7103491551069238,2457119.326484155
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-05-16T06:42:42.478,5,-0.0031628501367412525,1.2636699168489423,FoVP,0.6215248531451918,0.7230403510027962,2457158.7827345333
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-05-16T08:29:16.692,4,0.0018481657439797393,1.2652565405817753,FoVF,0.6194109798519828,0.7248516028618415,2457158.8567419583
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-06-05T06:43:00.830,3,0.0011485816865482875,2.336352653469924,FoVP,-0.6337803612898883,0.7219762866498075,2457178.7829169687
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-06-05T08:29:35.046,7,-0.0038386510576119597,2.3378916559518474,FoVF,-0.6358732560882305,0.720205920759811,2457178.856923556
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-07-15T07:28:03.316,7,-0.0038978029212200014,0.1758317814947967,FoVF,0.6888085735978221,0.7275701098500013,2457218.8134923703
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-08-09T11:34:29.580,5,-0.003596931393366957,1.313149039021584,FoVP,-0.7198029478841789,0.7250444534862056,2457243.983852523
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-09-13T11:01:28.638,7,-0.005875445778812062,-0.7989808570483304,FoVP,0.71032365579091,0.7217772270184546,2457278.9597098613
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-09-13T12:48:02.825,5,-9.414685740749165E-4,-0.8009331824418195,FoVF,0.7108131172559814,0.7211887864133966,2457279.0337141687
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-10-17T04:40:49.511,4,-0.0010972584356951178,0.15668781862268513,FoVP,-0.6566648899112438,0.7136658924616545,2457312.6944003263
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-11-15T10:33:12.662,1,0.004147610825924811,-1.8354122088441747,FoVP,0.616365503717026,0.707059352167579,2457341.9386993716
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-12-22T10:08:48.105,3,0.0014135873498208437,-1.0815199176687882,FoVP,-0.6283075947067491,0.705284127549133,2457378.9219722957
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2015-12-22T11:55:22.305,6,-0.0029444389004947675,-1.0849596379593747,FoVF,-0.6268814386534636,0.7066393510811545,2457378.9959805207
HD 154345,4.461963598545425,0.8217338054820881,17:02:36.404,+47:04:54.764,2016-01-21T03:55:12.323,3,1.2029616491436053E-4,-3.1100602581069277,FoVP,0.6813295694395908,0.6984415552268456,2457408.66326519
