Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-08-29T02:06:31.440,3,7.56796116772994E-4,-3.1191792377760654,FoVP,-0.5975597920725536,0.7249261899845567,2456898.5911841965
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-08-29T03:53:05.661,7,-0.0041096317864887984,-3.11716311674757,FoVF,-0.5992566104980448,0.7229495164490385,2456898.665197091
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-09-25T12:33:41.135,5,7.921350831939983E-5,2.0426316500746906,FoVF,0.06674752442334597,0.7177767875255301,2456926.028506884
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-09-25T16:47:21.171,4,-8.278585993611036E-4,2.0553149840980085,FoVP,0.05542930448681029,0.7171173170127044,2456926.2046736693
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-09-25T18:33:55.399,5,-0.0012824920052088725,2.060638174116108,FoVF,0.05068613301826608,0.7167868732558706,2456926.278684704
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-09-25T22:47:35.502,5,-0.0025384741454884526,2.0732936004635754,FoVP,0.03942763173970234,0.7158738229251311,2456926.4548522094
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-09-26T00:34:09.763,6,-0.0031387419302857608,2.078603143086382,FoVF,0.0347120762203149,0.7154373053113792,2456926.5288635977
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2014-09-26T04:47:49.953,6,-0.004738995437466912,2.0912216172213505,FoVP,0.02352517656492983,0.7142730637659279,2456926.7050320655
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2015-01-01T21:15:41.394,6,-0.0020623912282871654,-0.8670231164637604,FoVF,0.5774383724573043,0.6988832587091096,2457024.389222139
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2015-01-24T15:08:57.839,2,0.004758960869345381,0.39266878083001355,FoVF,-0.6963323943753638,0.7036880942961304,2457047.132624559
ups And,0.4223581557655425,0.7226615828463825,01:36:47.842,+41:24:19.651,2015-02-22T07:05:04.950,7,-0.0059508438050920095,-1.350993092308604,FoVP,0.6028828416871022,0.7062668685072142,2457075.794112906
